Country,Year,Value
Belgium,2000,49.7
Bulgaria,2000,15.5
Czechia,2000,0.9
Denmark,2000,37.1
Germany,2000,52.5
Estonia,2000,2.2
Ireland,2000,11.9
Greece,2000,8.8
Spain,2000,18.4
France,2000,24.5
Croatia,2000,
Italy,2000,14.2
Cyprus,2000,3.0
Latvia,2000,0.0
Lithuania,2000,0.0
Luxembourg,2000,35.8
Hungary,2000,1.6
Malta,2000,9.6
Netherlands,2000,44.1
Austria,2000,63.4
Poland,2000,2.1
Portugal,2000,10.5
Romania,2000,0.0
Slovenia,2000,6.0
Slovakia,2000,5.2
Finland,2000,33.6
Sweden,2000,38.5
Iceland,2000,15.4
Liechtenstein,2000,
Norway,2000,30.6
Switzerland,2000,45.3
United Kingdom,2000,
Bosnia and Herzegovina,2000,
Montenegro,2000,
North Macedonia,2000,
Albania,2000,
Serbia,2000,
Türkiye,2000,
Kosovo*,2000,
Belgium,2013,52.8
Bulgaria,2013,28.5
Czechia,2013,24.2
Denmark,2013,43.3
Germany,2013,63.8
Estonia,2013,17.6
Ireland,2013,
Greece,2013,15.8
Spain,2013,32.5
France,2013,38.7
Croatia,2013,14.9
Italy,2013,39.4
Cyprus,2013,13.9
Latvia,2013,25.9
Lithuania,2013,27.8
Luxembourg,2013,46.3
Hungary,2013,26.4
Malta,2013,12.5
Netherlands,2013,49.8
Austria,2013,57.7
Poland,2013,15.1
Portugal,2013,25.8
Romania,2013,13.2
Slovenia,2013,34.8
Slovakia,2013,10.8
Finland,2013,32.5
Sweden,2013,48.2
Iceland,2013,29.9
Liechtenstein,2013,
Norway,2013,39.2
Switzerland,2013,51.0
United Kingdom,2013,
Bosnia and Herzegovina,2013,0.0
Montenegro,2013,
North Macedonia,2013,
Albania,2013,
Serbia,2013,1.0
Türkiye,2013,
Kosovo*,2013,
Belgium,2014,53.8
Bulgaria,2014,23.1
Czechia,2014,25.4
Denmark,2014,45.4
Germany,2014,65.6
Estonia,2014,31.1
Ireland,2014,39.8
Greece,2014,15.4
Spain,2014,30.8
France,2014,39.7
Croatia,2014,16.4
Italy,2014,41.6
Cyprus,2014,14.8
Latvia,2014,27.0
Lithuania,2014,30.5
Luxembourg,2014,47.7
Hungary,2014,30.5
Malta,2014,11.7
Netherlands,2014,50.9
Austria,2014,56.3
Poland,2014,26.5
Portugal,2014,30.4
Romania,2014,13.1
Slovenia,2014,36.0
Slovakia,2014,10.4
Finland,2014,32.5
Sweden,2014,49.3
Iceland,2014,29.7
Liechtenstein,2014,
Norway,2014,42.2
Switzerland,2014,53.5
United Kingdom,2014,
Bosnia and Herzegovina,2014,0.0
Montenegro,2014,
North Macedonia,2014,
Albania,2014,
Serbia,2014,0.7
Türkiye,2014,
Kosovo*,2014,
Belgium,2015,53.5
Bulgaria,2015,29.4
Czechia,2015,29.7
Denmark,2015,47.4
Germany,2015,66.7
Estonia,2015,28.3
Ireland,2015,
Greece,2015,15.8
Spain,2015,30.0
France,2015,40.7
Croatia,2015,18.0
Italy,2015,44.3
Cyprus,2015,16.7
Latvia,2015,28.7
Lithuania,2015,33.2
Luxembourg,2015,47.4
Hungary,2015,32.2
Malta,2015,10.9
Netherlands,2015,51.8
Austria,2015,56.9
Poland,2015,32.5
Portugal,2015,29.8
Romania,2015,13.3
Slovenia,2015,54.1
Slovakia,2015,14.9
